2020-12-30 09:41:25.091 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:41:27.048 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:41:27.053 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:41:27.124 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 Redis repository interfaces.
2020-12-30 09:41:27.463 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=d49e5506-5cfd-3287-bc10-07094172f134
2020-12-30 09:41:28.396 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2020-12-30 09:41:28.415 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2020-12-30 09:41:28.417 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-30 09:41:28.417 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-12-30 09:41:28.573 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-30 09:41:28.573 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3377 ms
2020-12-30 09:41:29.649 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-12-30 09:41:29.651 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-12-30 09:45:17.799 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:45:19.519 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:45:19.526 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:45:19.583 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
